i;U;T_stack;rh_ca;rh_an;st_ca;st_an;x_o2_ca;p_ca_out;p_an_out;figure;cell_id;hfr
0,0113;0,9005;353,15;1;1;100,8849558;100,8849558;0,2;101000;101000;7a;LSC Nafion;
0,0198;0,8797;353,15;1;1;57,57575758;57,57575758;0,2;101000;101000;7a;LSC Nafion;
0,0594;0,8499;353,15;1;1;19,19191919;19,19191919;0,2;101000;101000;7a;LSC Nafion;
0,1876;0,8012;353,15;1;1;6,076759062;6,076759062;0,2;101000;101000;7a;LSC Nafion;6,14E-06
0,4047;0,7396;353,15;1;1;2,816901408;2,816901408;0,2;101000;101000;7a;LSC Nafion;5,58E-06
0,6067;0,6973;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,45E-06
0,867;0,6398;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,36E-06
1,002;0,5997;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,40E-06
1,1541;0,5493;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,47E-06
1,2867;0,4999;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,60E-06
1,4348;0,4495;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;5,82E-06
1,5322;0,4005;353,15;1;1;2;2;0,2;101000;101000;7a;LSC Nafion;6,06E-06
0,0141;0,8981;353,15;0,5;0,5;80,85106383;80,85106383;0,2;101000;101000;7b;LSC Nafion;
0,0276;0,8769;353,15;0,5;0,5;41,30434783;41,30434783;0,2;101000;101000;7b;LSC Nafion;
0,0722;0,8478;353,15;0,5;0,5;15,78947368;15,78947368;0,2;101000;101000;7b;LSC Nafion;1,29E-05
0,1885;0,8007;353,15;0,5;0,5;6,047745358;6,047745358;0,2;101000;101000;7b;LSC Nafion;1,03E-05
0,3692;0,7371;353,15;0,5;0,5;3,087757313;3,087757313;0,2;101000;101000;7b;LSC Nafion;8,86E-06
0,5278;0,6991;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;8,51E-06
0,7573;0,6401;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;8,34E-06
0,8926;0,5999;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;8,68E-06
1,04;0,5497;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;9,03E-06
1,1656;0,5008;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;9,46E-06
1,2726;0,4501;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;9,90E-06
1,3651;0,4011;353,15;0,5;0,5;2;2;0,2;101000;101000;7b;LSC Nafion;1,05E-05
0,0068;0,9004;353,15;1;1;167,6470588;167,6470588;0,2;150000;150000;8a;LSC Nafion;
0,0271;0,8819;353,15;1;1;42,06642066;42,06642066;0,2;150000;150000;8a;LSC Nafion;
0,0906;0,8523;353,15;1;1;12,58278146;12,58278146;0,2;150000;150000;8a;LSC Nafion;6,88E-06
0,2793;0,8017;353,15;1;1;4,081632653;4,081632653;0,2;150000;150000;8a;LSC Nafion;5,75E-06
0,5616;0,7409;353,15;1;1;2,02991453;2,02991453;0,2;150000;150000;8a;LSC Nafion;5,42E-06
0,8206;0,7016;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,39E-06
1,1617;0,6414;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,29E-06
1,3562;0,6013;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,34E-06
1,587;0,5509;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,52E-06
1,7841;0,5002;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,71E-06
1,9535;0,451;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;5,99E-06
2,1141;0,4008;353,15;1;1;2;2;0,2;150000;150000;8a;LSC Nafion;6,33E-06
0,0064;0,8961;353,15;1;1;178,125;178,125;0,2;101000;101000;7a;GORE;
0,0096;0,879;353,15;1;1;118,75;118,75;0,2;101000;101000;7a;GORE;
0,0387;0,8491;353,15;1;1;29,45736434;29,45736434;0,2;101000;101000;7a;GORE;
0,1487;0,7989;353,15;1;1;7,666442502;7,666442502;0,2;101000;101000;7a;GORE;5,90E-06
0,4228;0,7389;353,15;1;1;2,696310312;2,696310312;0,2;101000;101000;7a;GORE;5,30E-06
0,6536;0,6997;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,03E-06
0,9724;0,6392;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,18E-06
1,1436;0,5999;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,26E-06
1,3159;0,5494;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,24E-06
1,4838;0,5;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,44E-06
1,6132;0,4496;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;5,82E-06
1,7092;0,3997;353,15;1;1;2;2;0,2;101000;101000;7a;GORE;6,08E-06
0,0068;0,8991;353,15;0,5;0,5;167,6470588;167,6470588;0,2;101000;101000;7b;GORE;
0,0158;0,8787;353,15;0,5;0,5;72,15189873;72,15189873;0,2;101000;101000;7b;GORE;
0,0506;0,8487;353,15;0,5;0,5;22,52964427;22,52964427;0,2;101000;101000;7b;GORE;9,99E-06
0,1503;0,7995;353,15;0,5;0,5;7,584830339;7,584830339;0,2;101000;101000;7b;GORE;6,58E-06
0,4115;0,7377;353,15;0,5;0,5;2,770352369;2,770352369;0,2;101000;101000;7b;GORE;5,81E-06
