# 2.0 bars 
i,U
0.050,0.900
0.057,0.889
0.079,0.874
0.106,0.860
0.135,0.853
0.171,0.845
0.206,0.837
0.242,0.830
0.302,0.817
0.346,0.808
0.395,0.800
0.434,0.792
0.476,0.786
0.531,0.779
0.570,0.772
0.623,0.765
0.681,0.759
0.731,0.753
0.779,0.747
0.822,0.742
0.868,0.737
0.930,0.730
0.976,0.726
1.031,0.720
1.090,0.714
1.134,0.710
1.205,0.702
1.242,0.698
1.312,0.690
1.358,0.684
1.403,0.679
1.453,0.673
1.501,0.668
1.569,0.659
1.634,0.651
1.725,0.640
1.786,0.631
1.857,0.620
1.924,0.608
1.979,0.598
2.050,0.586
2.125,0.573
2.168,0.565
2.214,0.557
2.258,0.548
2.308,0.537
2.348,0.528
2.413,0.513
2.459,0.502
