i;U;T_stack;rh_ca;rh_an;st_ca;st_an;x_o2_ca;p_ca_out;p_an_out;figure;cell_id
0;0,9632;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
0,1036;0,8859;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
0,2022;0,8606;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
0,6014;0,79;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
0,9986;0,7333;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
1,1989;0,7092;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
1,4986;0,6728;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
1,6987;0,6496;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
1,8985;0,6268;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
2,0977;0,6023;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
2,399;0,5673;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
2,6986;0,531;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
2,9978;0,4921;353,15;0,3;0,3;2;2,5;0,2;250000;250000;6a;Stack A
0;0,9577;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
0,1036;0,8785;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
0,2071;0,849;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
0,6006;0,7765;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
1,002;0,7176;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
1,1968;0,6885;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
1,4944;0,646;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
1,6972;0,6168;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
1,8961;0,5855;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
2,1001;0,5465;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
2,3993;0,4838;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
2,6985;0,3953;353,15;0,9;0,3;2;1,5;0,2;150000;150000;6a;Stack A
0;0,9339;313,15;0,9;0,9;2,5;2;0,2;150000;150000;6a;Stack A
0,029;0,8813;313,15;0,9;0,9;2,5;2;0,2;150000;150000;6a;Stack A
0,1008;0,8498;313,15;0,9;0,9;2,5;2;0,2;150000;150000;6a;Stack A
0,1972;0,8229;313,15;0,9;0,9;2,5;2;0,2;150000;150000;6a;Stack A
