n_parameters,computation_time,objective_value,test_case,elec-resistance,memb-cond-correction,alpha-c,B_ch,ionomer-cond-corr,i0-c,Sh,E-act-ca,memb-cond-exp,memb-equiv-weight,gdl-thermal-cond,memb-E-act-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,gdl-eff-diff-ratio,memb-thickness,tcr
1,0.1366558074951172,0.9543219716953134,1,1e-06,,,,,,,,,,,,,,,,,,
1,0.11525583267211914,1.014740922000176,2,1e-06,,,,,,,,,,,,,,,,,,
1,0.11781573295593262,0.6496319577603464,3,1e-06,,,,,,,,,,,,,,,,,,
1,0.11452317237854004,0.7424725194317232,4,1e-06,,,,,,,,,,,,,,,,,,
1,0.11913275718688965,0.9542238034084296,5,1e-06,,,,,,,,,,,,,,,,,,
1,0.1201181411743164,0.7800776813480121,6,1e-06,,,,,,,,,,,,,,,,,,
1,0.11219906806945801,1.0079776785378594,7,1e-06,,,,,,,,,,,,,,,,,,
1,0.11677789688110352,1.0197000509547094,8,1e-06,,,,,,,,,,,,,,,,,,
1,0.11521577835083008,1.007875626132708,9,1e-06,,,,,,,,,,,,,,,,,,
2,1.1779351234436035,0.0012039342636071646,1,3.677815061613063e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,1.052262783050537,0.0011046995526810815,2,3.611550985249512e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,0.9959769248962402,0.0011404120464260556,3,3.6256470966552446e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,0.7387001514434814,0.001150822058433239,4,3.800618855897599e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,1.2880377769470215,0.0012179706857085337,5,3.7263490681592726e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,1.018385887145996,0.0012430251154555256,6,3.7004464232665178e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,0.9793381690979004,0.001106018109657209,7,3.6106900112902336e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,1.2061429023742676,0.001205720394349468,8,3.670482663135245e-06,49.999999999999986,,,,,,,,,,,,,,,,,
2,1.1847851276397705,0.0011216150922283839,9,3.6599416126203805e-06,49.999999999999986,,,,,,,,,,,,,,,,,
3,1.2474339008331299,0.0005618943421910264,1,3.2949390399271524e-06,49.999999999999986,0.9113156417096373,,,,,,,,,,,,,,,,
3,1.243638038635254,0.0004975441968938149,2,3.2423335296571877e-06,49.999999999999986,0.9132167768637782,,,,,,,,,,,,,,,,
3,1.2770769596099854,0.00044909306847508294,3,3.2450492745223467e-06,49.999999999999986,0.9076107002644547,,,,,,,,,,,,,,,,
3,1.8339879512786865,0.00045369195790450614,4,3.416624269416943e-06,49.999999999999986,0.9083353969158737,,,,,,,,,,,,,,,,
3,1.2879328727722168,0.0005509878039756999,5,3.3416908493388706e-06,49.999999999999986,0.9100280280536346,,,,,,,,,,,,,,,,
3,1.264064073562622,0.0005659427388915908,6,3.304832625711514e-06,49.999999999999986,0.9091744338624261,,,,,,,,,,,,,,,,
3,1.493643045425415,0.0005120804398524923,7,3.2387365845983353e-06,49.999999999999986,0.9138426452304068,,,,,,,,,,,,,,,,
3,1.543280839920044,0.0005607059822489389,8,3.2918571055703246e-06,49.999999999999986,0.9111594531601944,,,,,,,,,,,,,,,,
3,1.3623931407928467,0.0005216862189480897,9,3.2884963634533883e-06,49.999999999999986,0.9140106915239226,,,,,,,,,,,,,,,,
4,2.666562080383301,0.00041702599932087845,1,3.4979209574352654e-06,37.26665356634931,0.9178512560079386,1.7755880501505883,,,,,,,,,,,,,,,
4,1.7818989753723145,0.00037822853258249225,2,3.515188160793486e-06,39.328859288439,0.9164612728985184,1.7173668274011034,,,,,,,,,,,,,,,
4,1.8738596439361572,0.00025976642494058373,3,3.286617754967413e-06,14.661670941683022,0.9604516916418638,2.5451663640760995,,,,,,,,,,,,,,,
4,2.201496124267578,0.00039026262508344296,4,3.540122011290957e-06,42.89353297807898,0.9104805471869191,1.5042481033249349,,,,,,,,,,,,,,,
4,2.412130117416382,0.00041947803938482205,5,3.535936591667765e-06,37.87105419677007,0.9162931041444153,1.776956577689301,,,,,,,,,,,,,,,
4,2.046274185180664,0.00042508406855177775,6,3.5168209465925143e-06,38.02275395603166,0.9165369056210434,1.774769726201,,,,,,,,,,,,,,,
4,2.5909738540649414,0.00039708836447767426,7,3.4820516247289726e-06,37.84140469483425,0.9174011692367756,1.717136831742201,,,,,,,,,,,,,,,
4,1.9867641925811768,0.0004139019354461324,8,3.581350090737266e-06,39.471264423283365,0.9166063003531643,1.7710291546652561,,,,,,,,,,,,,,,
4,2.8212389945983887,0.0003962165798756371,9,3.5675200293318945e-06,40.08411493963091,0.9166522235443545,1.7245677059326825,,,,,,,,,,,,,,,
5,2.853245735168457,0.0003754268581366128,1,3.5343562033285455e-06,38.61183854541142,0.9587956036251241,1.9133729697440285,0.24873568166967128,,,,,,,,,,,,,,
5,3.618591070175171,0.0003445662272872767,2,3.5495903306046114e-06,40.627706625562354,0.954503561527976,1.8665265666705717,0.27229036591613703,,,,,,,,,,,,,,
5,2.598940849304199,0.00023072801686906604,3,3.3378103358752166e-06,17.02141493604111,0.9983122290654041,2.5507363262726246,0.21130470832817705,,,,,,,,,,,,,,
5,4.059185266494751,0.00034491587779195626,4,3.6103250818680917e-06,41.906846271715104,1.0,1.9966301026507995,0.10630524880089404,,,,,,,,,,,,,,
5,4.438533067703247,0.0003770990935957301,5,3.5914467967762167e-06,39.73389265041075,0.9583867580303636,1.9301493854210061,0.24435240533998345,,,,,,,,,,,,,,
5,4.080819129943848,0.0003544541109131065,6,3.550990922672995e-06,42.7300098619107,0.9945629454145426,1.948602252855392,0.10989195494616824,,,,,,,,,,,,,,
5,3.1260879039764404,0.00035752982548696387,7,3.5240241837832173e-06,38.39197128546177,0.9587678461706362,1.8663167081596252,0.2619849741738081,,,,,,,,,,,,,,
5,3.725456953048706,0.00037699354835483403,8,3.609435832812891e-06,41.304145352916436,0.9508116041387797,1.8665292952937143,0.3051245970615393,,,,,,,,,,,,,,
