n_parameters,computation_time,objective_value,test_case,elec-resistance,alpha-c,memb-cond-correction,B_ch,ionomer-cond-corr,i0-c,memb-cond-exp,Sh,E-act-ca,memb-equiv-weight,memb-E-act-cond,gdl-thermal-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,tcr,gdl-abs-perm,memb-thickness,gdl-eff-diff-ratio,pt-loading,ic-ratio,gdl-thickness,ionomer-E-act-cond,memb-water-diff,radius-carbon,wet-transition,ecsa,cl-abs-perm,cl-pore-diameter,cl-theta,n_s,E-act-memb-diff,E-act-memb-abs,ionomer-k2,gdl-theta,ionomer-k1,ionomer-k3
1,0.6505320072174072,0.41890913691649473,1,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6445622444152832,0.4426077057572659,2,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6461987495422363,0.26766051923036144,3,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6444230079650879,0.3253023755801651,4,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6343050003051758,0.42027958700626405,5,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6372411251068115,0.33747891768494187,6,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6353950500488281,0.43755644203162125,7,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6320669651031494,0.4426442404347204,8,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.636315107345581,0.43748800382172215,9,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.3196301460266113,0.41890913691649473,1,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.2988908290863037,0.4426077057572659,2,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.309865951538086,0.26766051923036144,3,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.2912540435791016,0.3253023755801651,4,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.292555809020996,0.42027958700626405,5,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.3076179027557373,0.33747891768494187,6,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.3022799491882324,0.43755644203162125,7,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.2811450958251953,0.4426442404347204,8,1e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
